STATEFP,COUNTYFP,COUSUBFP,COUSUBNS,GEOID,NAME,NAMELSAD,LSAD,CLASSFP,MTFCC,CNECTAFP,NECTAFP,NCTADVFP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,HISTO_0,HISTO_11,HISTO_12,HISTO_21,HISTO_22,HISTO_23,HISTO_24,HISTO_31,HISTO_41,HISTO_42,HISTO_43,HISTO_52,HISTO_71,HISTO_81,HISTO_82,HISTO_90,HISTO_95
"30","089","92688","01940691","3008992688",Plains,Plains CCD,"22",Z5,G4040,,,,S,"2319012160","14128693","+47.6041460","-114.9857302","0","17143","0","4537","5744","2004","191","16480","15","1533522","166","744158","240162","3218","8860","6130","10092"
"30","089","93507","01940726","3008993507",Thompson Falls-West End,Thompson Falls-West End CCD,"22",Z5,G4040,,,,S,"2973175195","47527133","+47.8286408","-115.6211851","1","50952","268","12957","9905","2621","567","38612","4574","2654518","4997","418547","123034","2224","819","12899","18843"
"30","029","93171","01940711","3002993171",South Fork,South Fork CCD,"22",Z5,G4040,,,,S,"4469169211","114480387","+47.9482835","-113.3985315","0","121574","1198","10022","3385","1242","84","111386","10388","3469470","21286","915557","410750","4791","45","10349","1414"
"30","075","90987","01940604","3007590987",East Powder River,East Powder River CCD,"22",Z5,G4040,,,,S,"3319113944","824515","+45.2846986","-105.3143599","7","7264","0","6906","1815","446","53","157","113","148884","38","2025127","1269300","29710","143266","7546","48178"
"30","075","90441","01940578","3007590441",Broadus,Broadus CCD,"22",Z5,G4040,,,,S,"1643930790","281736","+45.6114490","-105.4965906","0","3788","0","9125","3898","992","108","174","141","64526","30","702435","724119","30297","258501","3023","25744"
"30","025","90168","01940565","3002590168",Baker,Baker CCD,"22",Z5,G4040,,,,S,"2399342265","4536589","+46.2577616","-104.2255865","12","3977","0","16712","6976","4653","482","408","522","26199","71","1118556","940001","51908","482208","3163","15121"
"30","029","91449","01940629","3002991449",Glacier National Park,Glacier National Park CCD,"22",Z5,G4040,,,,S,"2499055393","73844195","+48.6508584","-113.8807753","25","74496","18865","6448","457","188","94","207850","8659","1429709","21525","930738","139575","6556","122","9174","4290"
"30","029","91932","01940653","3002991932",Kalispell Southwest,Kalispell Southwest CCD,"22",Z5,G4040,,,,S,"1327164642","24932765","+48.0318464","-114.7135630","0","26957","0","4169","3564","1153","41","3953","110","906708","412","429679","84367","2603","0","12825","25836"
"30","029","93801","01940740","3002993801",Whitefish,Whitefish CCD,"22",Z5,G4040,,,,S,"1167788340","24000319","+48.5014814","-114.5611746","0","23212","0","19800","11268","4800","782","461","6271","1033387","3568","127503","16086","34114","14270","13335","15368"
"30","051","91848","01940649","3005191848",Joplin,Joplin CCD,"22",Z5,G4040,,,,S,"802304748","765618","+48.6955642","-110.8320867","10","887","0","22482","3425","230","45","383","0","3","0","24818","158993","81092","596428","827","2685"
"30","029","90672","01940589","3002990672",Columbia Falls,Columbia Falls CCD,"22",Z5,G4040,,,,S,"1535171769","10555146","+48.7231244","-114.3700522","27","10723","12","9684","6766","3299","1017","3606","13704","1198199","11851","401144","21446","19275","7731","6924","2081"
"30","029","91911","01940652","3002991911",Kalispell Northwest,Kalispell Northwest CCD,"22",Z5,G4040,,,,S,"1020320735","19411431","+48.2773208","-114.6921277","0","20302","0","5848","3038","440","38","132","44","785565","181","272176","28865","8833","10842","10839","8097"
"30","029","90147","01940564","3002990147",Bad Rock-Columbia Heights,Bad Rock-Columbia Heights CCD,"22",Z5,G4040,,,,S,"190829470","5662744","+48.2956841","-114.1127009","0","6556","0","9839","3147","599","105","36","1376","99245","356","6479","1332","52205","26863","8087","2104"
"30","029","91964","01940664","3002991964",Lakeside-Somers,Lakeside-Somers CCD,"22",Z5,G4040,,,,S,"244773173","97452930","+48.0484905","-114.2280342","0","108152","0","5656","4837","2123","263","148","73","147352","118","27696","7500","20201","47660","5702","2770"
"30","005","90588","01940585","3000590588",Chinook,Chinook CCD,"22",Z5,G4040,,,,S,"5532510795","18807688","+48.3323735","-109.2584909","19","25819","0","26387","7834","1464","183","1841","4499","271680","475","2125170","2628581","72129","902550","37419","62048"
"30","009","92793","01940695","3000992793",Roberts,Roberts CCD,"22",Z5,G4040,,,,S,"530696547","2877319","+45.3721602","-109.2776353","0","3487","0","7425","900","200","50","20","474","7066","10","216278","216939","87389","34055","11493","7060"
"30","009","90976","01940581","3000990976",East Carbon,East Carbon CCD,"22",Z5,G4040,,,,S,"2111753076","9245152","+45.1833069","-108.6499802","9","8707","0","10784","2842","921","80","2645","438","235900","107","1736967","212838","32973","91996","11560","7861"
"30","087","91155","01940615","3008791155",Forsyth,Forsyth CCD,"22",Z5,G4040,,,,S,"812064535","7721217","+46.1733598","-106.6664101","0","7228","0","4526","6241","2281","504","128","547","122428","5","311332","334237","9192","82784","7924","21495"
"30","087","92856","01940697","3008792856",Rosebud,Rosebud CCD,"22",Z5,G4040,,,,S,"3107116304","6614855","+45.9398690","-106.5132279","0","9090","0","16741","5719","2092","465","30817","832","379643","4","843063","2010411","25222","59833","16132","59635"
"30","087","90084","01940561","3008790084",Ashland,Ashland CCD,"22",Z5,G4040,,,,S,"1164465498","171934","+45.3416453","-106.4482313","0","2735","0","1686","490","191","24","47","60","278479","0","488540","477805","2429","13607","11943","16001"
